,log_return,volume_zscore_20,volume_zscore_60,volume_ratio_20,volume_spike,vp_position,vp_width_pct,vp_above_va,dist_to_sma_20,dist_to_sma_50,dist_to_sma_200,dist_to_ema_20,dist_to_ema_50,sma_20_slope_norm,sma_50_slope_norm,momentum_10,momentum_20,rsi_14,price_position_ma,trend_signal,trend_strength,day_of_week,day_of_month,week_of_month,is_month_end,is_month_start,overnight_gap,overnight_gap_zscore,rv_5d,rv_10d,rv_20d,rv_30d,rv_60d,ewma_vol_10d,ewma_vol_20d,parkinson_vol_10d,parkinson_vol_20d,gk_vol_10d,gk_vol_20d,vol_ratio_5_20,vol_ratio_park_rv,vol_ratio_20_60,up_vol_20d,down_vol_20d,vol_asymmetry_20d,vol_momentum_5d,vol_momentum_10d,beta_30d,correlation_30d,index_vol_30d,beta_60d,correlation_60d,index_vol_60d,beta_change,ivr,opm,vds,pocs,irr,hvc,sector_encoded,liquidity_rank,is_blue_chip,lot_size_log
gk_vol_20d,-0.05836059331051098,-0.05508219136641016,0.009907254888868317,-0.06289483470905251,-0.01009988589559709,-0.1305336294891381,0.5969332891923932,-0.10350937329941808,-0.2791326365386227,-0.32356576434529377,-0.3480738835122494,-0.32218432704954125,-0.34928037895719544,-0.4018845201704165,-0.33599498225802316,-0.24252120923140744,-0.3765717863858761,-0.10304022410089098,-0.14931039703824758,-0.1763271308167645,0.5171826613766624,-0.008523008670774788,0.01063073775919818,0.00445392212603243,0.022088283559559583,0.02305316753863995,0.0376775982920953,0.0005845217798293633,0.5773973225553711,0.7202898138257803,0.8720837228794949,0.8014936273711059,0.6383689064535548,0.7755320342937247,0.835353543859707,0.8437477983421071,0.9854944649766881,0.8586821326093131,1.0,-0.06427840698135316,0.03946775367699864,0.36721961025000305,0.7409726031560702,0.7951835791151541,0.28021568981942374,0.20080679206945184,0.33017575971380375,0.08575067587958207,0.1880979567081375,0.7667292241369549,0.06153264645863177,0.20187143842749547,0.6180660331448032,-0.059894969955801534,0.3200952044424251,-0.04815772748967424,-0.014577493042237087,-0.0190372676659136,0.052293053859715104,0.027188859027062286,0.0667948146546718,0.14588969147507092,-0.14800522388224593,-0.06100476122271954
vol_ratio_5_20,-0.012686859085101998,0.32535156765327544,0.30933660180493416,0.3306157657437484,0.19019408094078466,-0.025957470010491833,-0.04180041500533108,-0.04950466550414054,-0.06267308367042591,-0.019390511876575495,0.005833936636523674,-0.04856083024887805,-0.022441230924677737,0.015491902372625453,0.03233563958899454,-0.09043869354689581,-0.026903356841827538,-0.06711543219945076,-0.04387943445423569,-0.006356619387380012,-0.11395741055990373,0.01887079056990076,0.017302681944312687,0.015351570970525863,0.00665649700959457,-0.0001717933434569992,-0.038992197691798194,-0.014556410918157526,0.4561368498235814,0.1686932108428656,-0.06435196909894537,-0.07993521799806541,-0.0798044269429613,0.20480459949519877,0.060115115900943344,0.1230780676092545,-0.06389480278179105,0.10735412697725971,-0.06427840698135316,1.0,-0.0003065306298607337,0.01719738053950553,-0.08094377025120726,-0.04653304228180524,0.010000818804421038,0.4310661730072339,0.2377745619027414,-0.019654353911392204,0.016562858684784774,-0.054565561217315955,-0.008618284624449097,-0.01027847044075079,-0.06572406412250378,0.022180616038216253,0.1959774904396981,-0.031732155099879485,-0.002728688779941455,-0.0012430809645136197,0.11403771360407944,-0.003232945776045268,-0.001280879533176507,-0.004892300796217233,0.004105929501090411,-0.0004538686470918044
vol_ratio_park_rv,-0.007847166077735713,-0.025507151491517086,-0.0876583497474022,-0.027586023689434143,-0.01368566990424642,-0.13802737284131994,-0.09561038298040808,-0.078883734663374,-0.029661653127172245,-0.009757554649396299,0.030957518888097516,-0.01878202589173883,-0.005653247928016688,0.028072741718105133,0.03168380054794878,-0.018277493404465262,-0.016310102604367587,-0.05238443872274603,-0.030464624407448012,0.017368107117122483,-0.06478699936465585,-0.00453360319966125,-0.007642783348104548,-0.009897692994611174,0.0066875507522669774,0.003095444797326014,0.02872956437923186,-0.0073758019263194825,-0.1773879312410987,-0.20731806020070226,-0.23794948091573354,-0.16095468505409863,-0.05488172628767751,-0.21772337330326938,-0.1996493285714576,-0.024875105385861306,-0.01978272450715575,0.02561336729739222,0.03946775367699864,-0.0003065306298607337,1.0,-0.44545623896020653,-0.2588481935493157,-0.18228813862247964,-0.06133779086899447,-0.1906548808268777,-0.24534873863564882,-0.2644908731391156,-0.09346582950379925,0.007696554198944563,-0.20090627855775084,-0.062231318640479996,0.03926330589929677,0.1578293237078236,-0.06891476671732004,-0.0037182912862140623,-0.02567598873706993,0.04353161301440492,-0.05398709690357459,0.004988281433582277,0.1899193802410829,0.22791849380834273,-0.1967745676276759,-0.004900930679145883
vol_ratio_20_60,-0.011710942083891483,0.004853716295039643,0.2254789851488818,0.00819234557413231,0.01131598681830254,-0.008959518036570711,0.24411306693945614,0.0028470561283954463,-0.08345724587843532,-0.06661989865126963,0.01746135354755487,-0.08362327852836358,-0.0405389391742388,-0.13722019480739212,0.010214565764387354,-0.07114578681260643,-0.13466414670017204,0.005664533171214794,-0.027063292374263786,-0.06179343661601904,0.09898581421269083,-0.015641951233914146,0.002449909043556867,-0.0012169611536618575,0.00798175776568777,0.0062014701047439095,-0.01827651034360734,0.003173369993122439,0.33145649417967166,0.3944630662089565,0.4357776517030029,0.23264475133069676,-0.12119479335326014,0.40103714840898336,0.3296276270155103,0.36758197165465983,0.3839596683167602,0.3539797364862598,0.36721961025000305,0.01719738053950553,-0.44545623896020653,1.0,0.3959407256551124,0.3843157115410292,0.13262895013526751,0.3036585951574647,0.4494561127258882,0.12936768801120724,0.09225656011709199,0.19010365485259847,-0.009878076916373442,-0.004348762539960489,-0.09552956025331678,-0.2227090436616421,0.14519369556239267,-0.0012084424301976758,0.01212691548525418,-0.04124963247891225,0.07673951032651771,0.02432634143415936,-0.007089917012359484,-0.009948113984647951,0.005271364335879641,0.005615031301432732
up_vol_20d,0.06970020678244963,-0.02845170694323225,0.06995677511058507,-0.023201413535462668,0.0040965429672079725,-0.06787673020508848,0.3645577032537158,0.109589128593314,0.14573155316143255,0.07232046120400987,-0.16213249827775414,0.10662875431497845,0.037514268684509605,0.0071832908638428256,-0.08800200995589923,0.1171349819071115,0.11932245445433855,0.170139636068813,0.10391529503410299,-0.011113763930443481,0.4921965001599017,-0.01390596559280561,0.007235549632998672,0.0032258658303316863,0.007025486189163074,0.012551166172977463,0.1005283800643917,0.038989590843846164,0.4825001728293746,0.5995194385750076,0.733218889585543,0.6945340425969031,0.5545741616243985,0.6348236032341699,0.6962245163130635,0.6310215358858551,0.7486824257078252,0.6230812634785102,0.7409726031560702,-0.08094377025120726,-0.2588481935493157,0.3959407256551124,1.0,0.4833921688758352,-0.12455144679667167,0.10148905550976409,0.2080074860921389,0.14139583143452442,0.11779710941200477,0.5434299292093249,0.12232914045050776,0.14681623971101332,0.44745215503217534,-0.07184885290489829,0.17847089604711328,-0.007916509326207834,0.04965006179184815,-0.050491034500687065,0.039654492854518775,0.018237076085968796,0.010054765076139201,0.10220134645945542,-0.11942673636182674,-0.05979865214189506
down_vol_20d,-0.12996799230521047,-0.03580149978428743,0.014605886764071778,-0.04260961874938882,-0.006973731548291487,-0.08159601657800707,0.8460182880227639,-0.16748013077947405,-0.47054501304965346,-0.46064700072545195,-0.3592715067177624,-0.5178220723677284,-0.4817929930272402,-0.7529137714987398,-0.5260002096042633,-0.4246215282997552,-0.6271006302144045,-0.21545072969447562,-0.22821007122268602,-0.2114711385711876,0.43346392063337535,0.0018741501244448424,0.008701226149456981,0.005069312494704379,0.016938092297824017,0.017463275902310314,-0.014759422914674102,-0.01837830231858661,0.5904055781719653,0.7567078809529509,0.945709667337658,0.8108256297244507,0.6022847168462502,0.8404023976478996,0.8849726373639221,0.7298780225527024,0.8664593924607126,0.6824209065108343,0.7951835791151541,-0.04653304228180524,-0.18228813862247964,0.3843157115410292,0.4833921688758352,1.0,0.7130940603747227,0.3702994186867093,0.5374553242256187,0.14379268692197678,0.1434079156888677,0.5445771260873419,0.08756104581413522,0.12640585715156058,0.4223690999169072,-0.11810405002283379,0.24556788066876123,-0.032017513659405666,-0.025171630276830927,-0.020630282307317376,0.050282766066512885,0.016914772670114597,0.039147979292844824,0.06930069387669598,-0.06126537188511289,-0.025931631763681202
vol_asymmetry_20d,-0.18793330845100117,0.004852402277123323,0.005147310421895702,0.006577648878317267,0.005087859825695169,-0.06782032653926494,0.7300781797307289,-0.2769682344353187,-0.5502447771912897,-0.469195566156592,-0.2636314525657412,-0.577117510024163,-0.4800373827493218,-0.829228593224152,-0.5221349665608018,-0.5230913963295121,-0.6838075843167465,-0.37694440728085143,-0.3206648803541785,-0.2086249453109289,0.14281486445083486,0.014565784852077993,0.009013279552955417,0.008632457883793021,0.009384758674952651,0.005893700242337822,-0.07769759966849873,-0.04268788056493238,0.31600694528152723,0.4163847615265851,0.5228941732798648,0.4228190361197858,0.305248711160113,0.48976696667170955,0.4984929645093142,0.32535822497951994,0.3802931638302936,0.25257590543006225,0.28021568981942374,0.010000818804421038,-0.06133779086899447,0.13262895013526751,-0.12455144679667167,0.7130940603747227,1.0,0.4003123626972119,0.5022136448171857,0.10115418093907814,0.02239734895835217,0.11196919021080401,0.025822453702644733,-0.02348299070785849,0.08528658653418869,-0.12924306793733598,0.19871975736874634,-0.0320629836062327,-0.04968076998042224,-0.004774086922555916,0.04244122772488885,0.008690238881067744,0.04904753733509768,0.029200765560961024,-0.005983916330418946,0.006230192079713705
vol_momentum_5d,-0.17319881303220935,0.18604777035001582,0.2478781312999815,0.241355739824315,0.12794878029743925,-0.03378817453423749,0.29506925200238227,-0.07574333863990376,-0.22374717057719865,-0.1291848611202284,-0.07207154272375138,-0.23065606671618194,-0.14395771320048054,-0.22551151349876403,-0.1123686311323263,-0.3123080075911546,-0.231731258153074,-0.0880214336966794,-0.06315398815014533,-0.027227519418775884,-0.027101628961825136,0.008463348862424844,0.031522520162812956,0.030810486578744918,0.018180111897466277,0.013632558771375765,-0.10540106774236475,-0.053276075070931996,0.7203424464019329,0.5091905164376065,0.32943767473396374,0.1866254935181335,0.1067902767071617,0.5722711099382483,0.4205342138063602,0.40515742166945423,0.24714320565120917,0.3405707844561358,0.20080679206945184,0.4310661730072339,-0.1906548808268777,0.3036585951574647,0.10148905550976409,0.3702994186867093,0.4003123626972119,1.0,0.6953617073386241,0.03284429101596264,0.004292693546870554,0.06310651176653675,0.010751999668136522,-0.01701928189972367,0.020330339219306808,-0.03982915902196092,0.4290745646553271,-0.03263193392441583,-0.0427453475473502,-0.03135607376704685,0.11362089921834893,0.014516102762832633,0.022478466109692688,0.01625612423272878,-0.011601902863452687,-0.0004924282727544951
vol_momentum_10d,-0.10123332199914789,0.09688608288610999,0.18472462948810445,0.12379338884439313,0.061190239823222706,-0.03289531204975695,0.4900707163211013,-0.08263460967105982,-0.28411113564337365,-0.18046094052276265,-0.10152929686381655,-0.2845088268490685,-0.1941887246034866,-0.40333233629913595,-0.2141777559876634,-0.4052228686369328,-0.3174300839966927,-0.11053258380249432,-0.08075762225508747,-0.057566961287826485,0.029065002433106706,0.0018234598634694935,0.02487276055830081,0.02533627852891726,0.0339907337712239,0.02555718894721107,-0.035218050449467506,-0.013093012825531252,0.6040003503423333,0.7415312727162562,0.49614022626609317,0.3013387973490952,0.17113333815352255,0.6753749837617032,0.5538343563714943,0.6041972307184721,0.3911003824974462,0.5190174595761756,0.33017575971380375,0.2377745619027414,-0.24534873863564882,0.4494561127258882,0.2080074860921389,0.5374553242256187,0.5022136448171857,0.6953617073386241,1.0,0.04713473298331872,0.010492754209163187,0.13141060375210578,0.012974949132602137,-0.01937082852903563,0.055285156060728265,-0.0599082888487322,0.33050999272871745,-0.025816388783948947,-0.02632418220709367,-0.03999407879429996,0.07998053800866119,0.009473725670068447,0.03384394126026671,0.02535363634347593,-0.018547260358552697,4.392420484581481e-06
beta_30d,0.011422511563586034,-0.007399641421394495,0.034523937580191684,-2.385154027295767e-05,-0.010947210762459903,0.011897979774599918,0.15432920633342578,0.016406849899878582,-0.017150152271647918,-0.029325846801252296,0.030847654072583483,-0.037414892472684355,-0.04040804919043364,-0.1169546371341992,-0.11881490290826673,-0.03523493098031331,-0.042034612972125414,0.032594935515461484,0.04224168557462254,0.020872725402064123,0.15277957397918793,-0.04387989837854968,0.009732243356241366,0.011335589692922147,0.002255923059987376,0.0003671660638903391,0.0017690792584106347,0.0025551457841665815,0.10963532325473442,0.13984461693687456,0.17668266904883634,0.21072535449947688,0.1578479282868117,0.15743193586100188,0.18436495146029275,0.09594751913167983,0.11797395815361665,0.0707674415922184,0.08575067587958207,-0.019654353911392204,-0.2644908731391156,0.12936768801120724,0.14139583143452442,0.14379268692197678,0.10115418093907814,0.03284429101596264,0.04713473298331872,1.0,0.6008463512483202,-0.0642718439025971,0.7858830041386675,0.42768598155967114,-0.07105043740852293,-0.5902173720705469,0.09403388762637466,-0.015209934516760637,0.004109452869151463,-0.031423252798628176,0.05274240630246164,0.061423395055275685,-0.1189645968144242,-0.05593064921360043,0.03104836876135769,0.028674150176137662
correlation_30d,-0.001513686215162723,0.01596384344586971,0.012499005272681699,0.013204245566276461,0.010515999765571573,-0.0701102151018165,0.042826118388550376,-0.05132174412408997,-0.10814143595807202,-0.20721213198580435,-0.279246695526428,-0.12821797728572212,-0.22403867665517857,-0.06908933033914921,-0.13011958580079194,-0.08257243549065195,-0.12791263160327832,-0.0622092991837882,-0.1002371631471421,-0.18198091917420012,0.019983799220777202,-0.030656567494260465,0.02704669415034829,0.025433386705340347,0.01806662545382153,0.013524496934646945,-0.0038795160969769356,0.0086062089251377,0.12655775562558824,0.13174706956398535,0.1463714572046918,0.151049157483242,0.12771385329710122,0.13899345370677155,0.1481398999534235,0.15492944434132783,0.1760012645733732,0.161981416401271,0.1880979567081375,0.016562858684784774,-0.09346582950379925,0.09225656011709199,0.11779710941200477,0.1434079156888677,0.02239734895835217,0.004292693546870554,0.010492754209163187,0.6008463512483202,1.0,0.3345411325748668,0.4606245805480073,0.779730668034033,0.2949307236577902,-0.3546912379281249,0.051305046794808414,-0.009159862835163316,-0.0021562756699255083,0.023268340234498617,0.037614185494663596,0.00862895325416988,-0.16631119135872421,-0.20988638668223308,0.17120895342191286,0.07195028989036853
