datetime,open,close,high,low,value,volume,begin,end
2025-03-31 11:00:00,2983.75,2978.44,3005.32,2970.94,10204660910.810001,0,2025-03-31 11:00:00,2025-03-31 11:59:59
2025-03-31 12:00:00,2978.44,2999.6,3002.63,2978.44,6898932143.389999,0,2025-03-31 12:00:00,2025-03-31 12:59:59
2025-03-31 13:00:00,2999.58,3008.75,3013.22,2999.12,7064148791.330002,0,2025-03-31 13:00:00,2025-03-31 13:59:59
2025-03-31 14:00:00,3008.85,3011.51,3019.28,3004.93,6089675154.629997,0,2025-03-31 14:00:00,2025-03-31 14:59:59
2025-03-31 15:00:00,3011.39,3001.99,3012.41,2994.56,6592531197.080002,0,2025-03-31 15:00:00,2025-03-31 15:59:59
2025-03-31 16:00:00,3002.08,3007.6,3015.86,2996.48,8525398877.790001,0,2025-03-31 16:00:00,2025-03-31 16:59:59
2025-03-31 17:00:00,3007.78,3014.37,3017.06,2998.51,7467759329.870003,0,2025-03-31 17:00:00,2025-03-31 17:59:59
2025-03-31 18:00:00,3014.26,3013.36,3021.91,3012.64,5833922014.479996,0,2025-03-31 18:00:00,2025-03-31 18:54:02
2025-04-01 09:00:00,3032.41,3033.94,3035.06,3031.98,451031994.28,0,2025-04-01 09:00:00,2025-04-01 09:59:59
2025-04-01 10:00:00,3034.02,3030.28,3040.28,3023.15,8103987754.400001,0,2025-04-01 10:00:00,2025-04-01 10:59:59
2025-04-01 11:00:00,3030.22,3029.13,3032.76,3022.78,6227694054.119999,0,2025-04-01 11:00:00,2025-04-01 11:59:59
2025-04-01 12:00:00,3029.19,3036.81,3044.23,3025.47,8517869795.990002,0,2025-04-01 12:00:00,2025-04-01 12:59:59
2025-04-01 13:00:00,3036.81,3017.87,3036.9,3013.78,6746673237.91,0,2025-04-01 13:00:00,2025-04-01 13:59:59
2025-04-01 14:00:00,3017.78,2986.68,3018.08,2978.53,14528178926.990002,0,2025-04-01 14:00:00,2025-04-01 14:59:59
2025-04-01 15:00:00,2986.7,2979.12,2994.08,2964.02,11910917047.079994,0,2025-04-01 15:00:00,2025-04-01 15:59:59
2025-04-01 16:00:00,2979.16,2967.51,2980.9,2952.04,10189708425.780006,0,2025-04-01 16:00:00,2025-04-01 16:59:59
2025-04-01 17:00:00,2967.66,2988.09,2999.39,2960.1,14114630606.589996,0,2025-04-01 17:00:00,2025-04-01 17:59:59
2025-04-01 18:00:00,2988.11,2964.43,2991.11,2964.43,7047148956.070007,0,2025-04-01 18:00:00,2025-04-01 18:54:02
2025-04-02 09:00:00,2919.67,2924.77,2927.23,2919.67,804017499.59,0,2025-04-02 09:00:00,2025-04-02 09:59:59
2025-04-02 10:00:00,2924.81,2932.41,2947.2,2918.8,12146218640.32,0,2025-04-02 10:00:00,2025-04-02 10:59:59
2025-04-02 11:00:00,2932.39,2921.07,2938.15,2917.94,7295799972.75,0,2025-04-02 11:00:00,2025-04-02 11:59:59
2025-04-02 12:00:00,2921.05,2944.31,2947.67,2920.14,8693604365.369999,0,2025-04-02 12:00:00,2025-04-02 12:59:59
2025-04-02 13:00:00,2944.26,2945.15,2950.2,2934.71,5334439316.389999,0,2025-04-02 13:00:00,2025-04-02 13:59:59
2025-04-02 14:00:00,2945.18,2939.29,2951.3,2921.57,9512215757.099998,0,2025-04-02 14:00:00,2025-04-02 14:59:59
2025-04-02 15:00:00,2939.31,2940.75,2943.94,2932.75,4509989248.380005,0,2025-04-02 15:00:00,2025-04-02 15:59:59
2025-04-02 16:00:00,2940.77,2923.55,2958.4,2921.64,10107735109.080002,0,2025-04-02 16:00:00,2025-04-02 16:59:59
2025-04-02 17:00:00,2922.88,2935.16,2949.38,2922.14,8363921655.039993,0,2025-04-02 17:00:00,2025-04-02 17:59:59
2025-04-02 18:00:00,2935.3,2926.39,2938.45,2924.84,4305934245.420006,0,2025-04-02 18:00:00,2025-04-02 18:54:01
2025-04-03 09:00:00,2957.64,2963.06,2964.6,2957.54,573946571.61,0,2025-04-03 09:00:00,2025-04-03 09:59:59
2025-04-03 10:00:00,2963.07,2948.61,2963.42,2942.4,7219459225.37,0,2025-04-03 10:00:00,2025-04-03 10:59:59
2025-04-03 11:00:00,2948.58,2960.55,2966.36,2948.42,7169368509.07,0,2025-04-03 11:00:00,2025-04-03 11:59:59
2025-04-03 12:00:00,2960.55,2969.03,2972.49,2949.74,6473944053.16,0,2025-04-03 12:00:00,2025-04-03 12:59:59
2025-04-03 13:00:00,2968.91,2957.28,2971.58,2953.56,4980169755.34,0,2025-04-03 13:00:00,2025-04-03 13:59:59
2025-04-03 14:00:00,2957.21,2935.42,2957.21,2926.62,10376240707.189999,0,2025-04-03 14:00:00,2025-04-03 14:59:59
2025-04-03 15:00:00,2935.45,2926.28,2939.77,2923.92,7490358006.300003,0,2025-04-03 15:00:00,2025-04-03 15:59:59
2025-04-03 16:00:00,2926.32,2902.57,2927.6,2893.86,15935544709.79,0,2025-04-03 16:00:00,2025-04-03 16:59:59
2025-04-03 17:00:00,2902.36,2879.34,2904.33,2875.52,16539447652.369995,0,2025-04-03 17:00:00,2025-04-03 17:59:59
2025-04-03 18:00:00,2879.43,2859.58,2880.84,2853.76,14652323794.089996,0,2025-04-03 18:00:00,2025-04-03 18:54:01
2025-04-04 09:00:00,2886.61,2892.62,2893.49,2886.17,745527819.85,0,2025-04-04 09:00:00,2025-04-04 09:59:59
2025-04-04 10:00:00,2892.64,2897.46,2902.62,2878.08,9185002613.39,0,2025-04-04 10:00:00,2025-04-04 10:59:59
2025-04-04 11:00:00,2897.6,2867.15,2897.6,2865.97,9975882994.81,0,2025-04-04 11:00:00,2025-04-04 11:59:59
2025-04-04 12:00:00,2867.27,2854.96,2874.86,2849.28,10827030938.23,0,2025-04-04 12:00:00,2025-04-04 12:59:59
2025-04-04 13:00:00,2854.91,2807.44,2861.49,2803.73,22486458052.17,0,2025-04-04 13:00:00,2025-04-04 13:59:59
